ticker,date,time,headline,neg,neu,pos,compound
GOOG,2020-05-18,10:30AM,Will a Fitbit-Alphabet Merger Actually Happen?,0.0,1.0,0.0,0.0
GOOG,2020-05-18,10:16AM,Baidu Stock Waking Up After Long Slumber,0.0,1.0,0.0,0.0
GOOG,2020-05-18,10:15AM,Alphabet-Vodacom Tie-Up to Provide Internet in Mozambique,0.0,1.0,0.0,0.0
GOOG,2020-05-18,08:30AM,Google and Twitter Are Right. Workers Should Stay Home.,0.0,1.0,0.0,0.0
GOOG,2020-05-18,08:15AM,"Dow Jones Futures Signal Coronavirus Market Rally On Vaccine Hopes; Apple, Tesla Lead Tech Giants Near Buy Points",0.0,0.859,0.141,0.4215
GOOG,2020-05-18,07:15AM,Automated delivery cashes in on pandemic-driven demand,0.2,0.8,0.0,-0.128
GOOG,2020-05-18,03:31AM,"Ubisoft Sues Google, Apple For Game Copyright Infringement",0.307,0.693,0.0,-0.4767
GOOG,2020-05-18,02:02AM,How People Re-Engage in the Economy Matters,0.0,0.845,0.155,0.0258
GOOG,2020-05-17,10:48PM,Rollout of NHS coronavirus tracing app still weeks away,0.0,1.0,0.0,0.0
GOOG,2020-05-17,08:45AM,3 Ways To Prepare Your Portfolio for a Recession,0.318,0.682,0.0,-0.4215
GOOG,2020-05-17,08:30AM,President Trump Takes Aim at Digital Tech Giants From Google to Twitter,0.0,1.0,0.0,0.0
GOOG,2020-05-17,12:06AM,Obama addresses to college and high-school graduates wade into politics but dont mention successor Trump by name,0.111,0.889,0.0,-0.2498
GOOG,2020-05-17,12:00AM,Big Tech searches for a way back into healthcare,0.0,1.0,0.0,0.0
GOOG,2020-05-16,01:54PM,Justice Department to Charge Google in Antitrust Lawsuit,0.168,0.531,0.301,0.3612
GOOG,2020-05-16,01:47PM,Whats happened to value stocks?,0.0,0.625,0.375,0.34
GOOG,2020-05-16,12:44PM,Work-from-home productivity pickup has tech CEOs predicting many employees will never come back to the office,0.0,1.0,0.0,0.0
GOOG,2020-05-16,09:57AM,Google Antitrust Suit Being Drafted by Justice Department,0.0,0.673,0.327,0.5267
GOOG,2020-05-16,09:22AM,"Justice Department, state attorneys general poised to hit Google with antitrust lawsuits: report",0.094,0.588,0.318,0.5859
GOOG,2020-05-16,09:22AM,3 Stocks to Buy and Hold for the Next 50 Years,0.0,1.0,0.0,0.0
GOOG,2020-05-16,08:42AM,China risk has reemerged in the U.S. stock market  heres how events may play out,0.12,0.743,0.137,0.0772
GOOG,2020-05-16,06:30AM,The Secret to Buying Google and Other S&P 500 Stocks as a New Investor,0.0,1.0,0.0,0.0
GOOG,2020-05-16,12:01AM,The Lockdown Lifestyles of Finance Executives,0.0,1.0,0.0,0.0
GOOG,2020-05-15,06:58PM,"Justice Department, State Attorneys General Poised to Hit Google With Antitrust Lawsuits",0.1,0.562,0.338,0.5859
GOOG,2020-05-15,06:37PM,Prem Watsa's Top 5 Buys in the 1st Quarter,0.0,0.795,0.205,0.2023
GOOG,2020-05-15,05:48PM,Google Stock And Two Others Join IBD's Long-Term Leaders Watchlist,0.0,0.804,0.196,0.296
GOOG,2020-05-15,05:13PM,"Google Likely Target of Government Antitrust Suits, WSJ Reports",0.0,1.0,0.0,0.0
GOOG,2020-05-15,05:07PM,"Alphabet Facing Antitrust Suits From DOJ, State AGs: Report",0.0,1.0,0.0,0.0
